order_id,date,customer,product,category,amount
1,2026-03-28,Customer_196,Tablet,Electronics,95294
2,2026-01-05,,,Electronics,55218
3,2026-02-17,Customer_361,Laptop,Electronics,17948
4,2026-03-18,Customer_201,Speaker,Electronics,33393rs
5,2026-03-09,Customer_485,Headphones,Electronics,39893
6,2026-04-05,Customer_280,Speaker,electronics,37834
7,2026-03-30,Customer_10,Camera,Electronics,71155
8,2026-02-01,Customer_295,Mobile,Electronics,93137
9,2026-04-23,Customer_143,Smartwatch,Electronics,96922rs
10,2026-01-03,Customer_480,Headphones,Electronics,95483rs
11,2026-04-26,Customer_141,Tablet,Electronics,18691
12,2026-03-15,,Smartwatch,Electronics,21830
13,2026-02-25,,Smartwatch,Electronics,N/A
14,2026-04-24,Customer_174,Tablet,Electronics,24656
15,2026-02-07,Customer_5,Camera,Electronics,76552
16,2026-05-01,Customer_148,Camera,Electronics,N/A
17,2026-04-23,Customer_774,Speaker,Electronics,87823
18,2026-03-07,Customer_217,Laptop,Electronics,82378rs
19,2026-03-28,Customer_298,Smartwatch,Electronics,59908
20,2026-01-30,Customer_43,Laptop,Electronics,59959
21,2026-04-20,Customer_641,Laptop,Electronics,51003
22,2026-03-26,Customer_378,Camera,Electronics,39102
23,2026-04-26,Customer_437,Laptop,Electronics,66081
24,2026-03-28,Customer_369,Mobile,Electronics,42517
25,2026-04-07,Customer_732,Speaker,Electronics,68848
26,2026-01-10,Customer_489,Smartwatch,Electronics,65056
27,2026-04-19,Customer_346,Laptop,Electronics,695
28,2026-01-30,Customer_724,Smartwatch,Electronics,74286rs
29,2026-04-04,Customer_449,Mobile,Electronics,64928
30,2026-03-29,Customer_669,Tablet,Electronics,2788
31,2026-03-27,Customer_2,Smartwatch,Electronics,66034
32,2026-02-14,Customer_664,Laptop,Electronics,70081
33,2026-03-18,Customer_5,Speaker,Electronics,85052
34,2026-03-20,Customer_164,,Electronics,10711
35,2026-01-16,Customer_9,Tablet,Electronics,54105
36,2026-01-04,Customer_800,Mobile,Electronics,7987
37,2026-02-03,Customer_264,Headphones,Electronics,70572
38,2026-01-22,Customer_290,Speaker,Electronics,11496
39,2026-04-19,Customer_189,Laptop,Electronics,84367rs
40,2026-04-23,Customer_387,Smartwatch,Electronics,N/A
41,2026-03-20,Customer_615,Smartwatch,Electronics,95265rs
42,2026-01-04,Customer_124,Camera,Electronics,57916
43,2026-04-17,Customer_597,Speaker,Electronics,60277
44,2026-04-27,Customer_721,,Electronics,72542
45,2026-01-10,Customer_647,,Electronics,27506
46,2026-03-19,Customer_364,Mobile,Electronics,2799rs
47,2026-03-24,Customer_418,Laptop,Electronics,22485
48,2026-01-02,Customer_574,Laptop,Electronics,73803
49,2026-01-22,Customer_129,Tablet,Electronics,4955
50,2026-02-03,Customer_703,Tablet,Electronics,77313
51,2026-01-01,Customer_243,Smartwatch,Electronics,50410
52,2026-05-01,Customer_196,Mobile,Electronics,83590
53,2026-01-20,Customer_601,Headphones,Electronics,9128
54,2026-04-18,Customer_118,Smartwatch,Electronics,12971
55,2026-02-14,Customer_83,Mobile,Electronics,44511
56,2026-04-07,,Smartwatch,Electronics,20359
57,2026-01-03,Customer_785,Tablet,Electronics,3952
58,2026-03-01,Customer_255,Smartwatch,Electronics,63108
59,2026-02-15,Customer_770,Speaker,Electronics,6822
60,2026-04-24,Customer_489,Speaker,Electronics,40786
61,2026-04-02,Customer_272,Speaker,Electronics,38209
62,2026-04-05,,Headphones,Electronics,82409
63,2026-04-16,Customer_485,Tablet,Electronics,26503
64,2026-03-30,Customer_32,Mobile,Electronics,N/A
65,2026-02-08,Customer_740,,Electronics,96449
66,2026-04-28,Customer_122,Mobile,Electronics,26483
67,2026-02-03,Customer_30,Tablet,Electronics,51807
68,2026-01-15,Customer_378,Smartwatch,Electronics,19787
69,2026-04-12,Customer_378,Smartwatch,Electronics,65843
70,2026-03-02,Customer_421,Headphones,Electronics,47646
71,2026-02-06,Customer_47,Tablet,Electronics,89116
72,2026-02-11,Customer_63,Camera,Electronics,78773
73,2026-04-25,Customer_164,Headphones,Electronics,2302
74,2026-04-02,Customer_465,,Electronics,1335
75,2026-03-05,Customer_531,Headphones,Electronics,56192
76,2026-05-01,Customer_85,Camera,Electronics,63940
77,2026-03-28,Customer_87,Tablet,Electronics,28549
78,2026-03-05,Customer_150,Mobile,Electronics,86244
79,2026-02-08,Customer_641,Smartwatch,Electronics,23027
80,2026-04-24,Customer_364,Tablet,Electronics,61830
81,2026-02-09,Customer_256,Smartwatch,Electronics,58858
82,2026-02-16,Customer_222,Headphones,Electronics,74536
83,2026-03-02,Customer_427,Headphones,Electronics,22152
84,2026-04-15,Customer_638,Mobile,electronics,72711
85,2026-02-06,Customer_173,Smartwatch,Electronics,16681
86,2026-03-08,Customer_797,Speaker,Electronics,13827
87,2026-02-28,Customer_713,Camera,Electronics,11161
88,2026-03-28,Customer_491,Camera,Electronics,35868
89,2026-02-24,Customer_149,Laptop,Electronics,64821
90,2026-03-31,Customer_177,Tablet,electronics,49457
91,2026-01-12,Customer_474,Smartwatch,Electronics,97610
92,2026-04-07,Customer_643,Smartwatch,Electronics,43353
93,2026-04-06,Customer_499,Mobile,Electronics,11877
94,2026-03-09,Customer_512,Camera,Electronics,22946
95,2026-02-09,Customer_214,Smartwatch,Electronics,92848
96,2026-01-26,Customer_426,Speaker,Electronics,83697
97,2026-04-15,Customer_276,Tablet,electronics,10905
98,2026-04-16,Customer_214,Smartwatch,electronics,49219
99,2026-04-10,Customer_350,Laptop,Electronics,85469
100,2026-03-27,Customer_564,Smartwatch,Electronics,17645
101,2026-03-21,Customer_637,Smartwatch,Electronics,84858
102,2026-01-22,Customer_515,Laptop,Electronics,52896
103,2026-02-02,Customer_426,Laptop,Electronics,4492
104,2026-01-10,Customer_272,Camera,Electronics,82583
105,2026-04-20,Customer_98,Tablet,Electronics,19781
106,2026-01-17,Customer_546,Speaker,Electronics,17271
107,2026-03-21,Customer_796,Speaker,Electronics,33613
108,2026-02-06,Customer_78,Laptop,Electronics,93886
109,2026-03-24,Customer_350,Mobile,Electronics,67627
110,2026-02-10,Customer_120,Camera,Electronics,N/A
111,2026-01-29,Customer_195,Headphones,Electronics,62508
112,2026-04-30,Customer_572,Headphones,Electronics,93791
113,2026-04-25,Customer_246,Smartwatch,Electronics,26906
114,2026-01-01,Customer_41,Camera,Electronics,6585
115,2026-03-14,Customer_658,Tablet,Electronics,22272
116,2026-01-22,Customer_496,Tablet,Electronics,55917
117,2026-01-13,Customer_539,Headphones,Electronics,8784
118,2026-01-24,Customer_31,Smartwatch,Electronics,28875
119,2026-01-01,Customer_511,Speaker,Electronics,56125
120,2026-02-26,Customer_761,Speaker,Electronics,60745
121,2026-03-29,Customer_366,Speaker,Electronics,98470
122,2026-01-03,Customer_126,Laptop,Electronics,72559
123,2026-04-28,Customer_88,Speaker,Electronics,17217
124,2026-03-11,Customer_322,Speaker,Electronics,32575
125,2026-04-28,Customer_553,Smartwatch,Electronics,60347
126,2026-03-26,Customer_509,Smartwatch,Electronics,7539
127,2026-01-17,Customer_197,Speaker,Electronics,64920
128,2026-02-07,Customer_299,Headphones,Electronics,60307
129,2026-04-22,Customer_554,Headphones,Electronics,74664
130,2026-01-05,Customer_247,Mobile,Electronics,71179
131,2026-04-04,Customer_520,Headphones,Electronics,66210rs
132,2026-03-29,Customer_482,Laptop,Electronics,48799
133,2026-01-16,Customer_662,Mobile,electronics,41484
134,2026-02-18,Customer_529,Tablet,Electronics,84284
135,2026-02-06,Customer_289,,Electronics,7913
136,2026-03-12,Customer_344,Mobile,Electronics,65070
137,2026-03-01,Customer_52,Laptop,Electronics,13697
138,2026-03-22,,Laptop,Electronics,11818
139,2026-01-11,Customer_261,Smartwatch,Electronics,46391
140,2026-04-09,Customer_304,Laptop,Electronics,58348
141,2026-01-23,Customer_508,Headphones,Electronics,3456
142,2026-02-14,Customer_668,Headphones,Electronics,51619
143,2026-03-28,Customer_191,Headphones,Electronics,87044
144,2026-04-26,Customer_289,Smartwatch,Electronics,94257
145,2026-03-30,Customer_287,,Electronics,67470rs
146,2026-02-24,Customer_631,Smartwatch,electronics,84721
147,2026-04-14,Customer_130,Headphones,Electronics,29548
148,2026-04-11,Customer_538,Laptop,Electronics,27954
149,2026-04-08,Customer_592,Speaker,Electronics,6340
150,2026-01-05,Customer_31,Camera,Electronics,66787
151,2026-02-05,Customer_121,Smartwatch,Electronics,35597
152,2026-03-12,Customer_786,Tablet,Electronics,44584
153,2026-02-28,Customer_728,Speaker,Electronics,85659
154,2026-03-25,Customer_184,Laptop,Electronics,53188
155,2026-04-16,Customer_206,Mobile,Electronics,84534
156,2026-03-22,Customer_146,Laptop,Electronics,52316
157,2026-03-13,Customer_457,Speaker,Electronics,15324
158,2026-02-15,Customer_462,Speaker,Electronics,8597
159,2026-01-13,Customer_697,Laptop,Electronics,71658
160,2026-01-24,Customer_727,Headphones,Electronics,58965
161,2026-01-15,Customer_266,Camera,Electronics,54756
162,2026-03-10,Customer_642,Laptop,Electronics,61042
163,2026-04-01,,Smartwatch,Electronics,16393
164,2026-01-01,Customer_490,Speaker,Electronics,77372
165,2026-02-20,Customer_548,,Electronics,38674
166,2026-04-05,Customer_92,Mobile,Electronics,30512
167,2026-01-01,Customer_18,Camera,Electronics,46676
168,2026-04-17,Customer_147,Speaker,Electronics,86989
169,2026-03-31,Customer_104,Speaker,Electronics,32429
170,2026-04-02,Customer_628,Camera,Electronics,N/A
171,2026-04-18,Customer_547,Headphones,Electronics,2322
172,2026-03-12,Customer_487,Speaker,Electronics,6482
173,2026-01-18,Customer_134,Camera,Electronics,45570
174,2026-02-06,Customer_591,Headphones,Electronics,76317
175,2026-03-25,Customer_328,Camera,Electronics,62800
176,2026-04-21,Customer_142,Tablet,Electronics,1125
177,2026-03-23,Customer_553,Headphones,Electronics,32994
178,2026-04-11,Customer_773,Mobile,Electronics,73771
179,2026-03-06,Customer_121,Headphones,Electronics,69836
180,2026-04-15,Customer_81,Smartwatch,Electronics,96921
181,2026-04-28,Customer_486,Smartwatch,Electronics,N/A
182,2026-01-04,Customer_390,Camera,Electronics,89672
183,2026-02-12,Customer_601,Tablet,Electronics,81334
184,2026-03-12,Customer_578,Tablet,Electronics,99146
185,2026-03-02,Customer_187,Camera,Electronics,42040
186,2026-01-30,Customer_755,Laptop,Electronics,86413
187,2026-03-16,Customer_191,Headphones,Electronics,75275
188,2026-02-11,Customer_536,Smartwatch,Electronics,79734
189,2026-03-21,Customer_363,Speaker,Electronics,70900
190,2026-03-11,Customer_461,Tablet,Electronics,6037
191,2026-02-09,Customer_326,Speaker,Electronics,4118
192,2026-01-17,Customer_161,Laptop,Electronics,6490
193,2026-01-05,Customer_96,Headphones,Electronics,59493
194,2026-03-23,Customer_653,Tablet,Electronics,29156
195,2026-01-26,Customer_437,Smartwatch,Electronics,73551
196,2026-01-22,Customer_683,Tablet,Electronics,29087
197,2026-01-22,Customer_571,Camera,Electronics,75724
198,2026-04-09,Customer_671,Smartwatch,Electronics,77865
199,2026-04-23,Customer_114,Laptop,Electronics,3508
200,2026-01-20,Customer_774,Headphones,Electronics,N/A
201,2026-01-11,Customer_237,Smartwatch,Electronics,8756
202,2026-01-04,Customer_664,Tablet,Electronics,9026
